Metabolite,Compound.Class,Soil 1,Soil 2,Soil 3,Soil 4,Soil 5,Soil 6,Soil 7,Soil 8,Soil 9,Soil 10,Soil 11,Soil 12,Soil 13,Soil 14,Soil 15,Soil 16,Soil 21,Soil 22,Soil 23,Soil 24,Soil 25,Soil 26,Soil 27,Soil 28,Soil 37,Soil 38,Soil 39,Soil 40,Soil 41,Soil 42,Soil 43,Soil 44,Soil 49,Soil 50,Soil 51,Soil 52,Soil 53,Soil 54,Soil 55,Soil 56,Soil 57,Soil 58,Soil 59,Soil 60,Soil 61,Soil 62,Soil 63,Soil 64,Soil 69,Soil 70,Soil 71,Soil 72,Soil 73,Soil 74,Soil 75,Soil 76,Soil Pre r1,Soil Pre r2,Soil Pre r3,Soil Pre r4
Unknown 048,Unknown,295809.0966,701525.3082,1590174.231,271874.0991,397536.709,728121.9077,1370172.94,963481.1983,1524152.986,340346.7573,957679.5667,338229.7061,1048630.985,464248.2626,424150.9865,592553.036,835616.2396,556934.155,410335.3819,349756.8974,372119.237,438219.4429,1498358.253,580318.3164,1188050.385,281604.3974,322070.3807,276906.3253,1791711.203,1887353.312,1363050.023,497716.9731,785052.1295,468482.3965,458654.6902,991523.8263,1544740.859,714890.3237,277467.1419,105643.4191,310123.543,259046.5752,477636.8437,264722.8646,1671642.789,1011506.119,1040865.78,504735.6489,344934.6414,371978.3194,1546345.337,269178.1602,475857.2414,573811.3632,314576.3485,351127.8524,708153.5968,442083.4454,795469.8751,706743.4414
Unknown 049,Unknown,7212336.509,3249645.798,182457,4613433.768,6508094,2328356.676,5957037.025,2635234.799,112457.6018,2035481.525,101435,7318643.578,10328246,2475940.344,3075137.634,177000.1677,9480066.654,8885085.311,3963305.625,1613172.169,4784052.479,3400771.453,122922.7727,172834.4537,8086543.826,5250186.629,4257503.91,2471582.716,8291118.88,7311997.545,8084627.405,2827563.2,1852236.778,6268109.18,1316311.47,3569718.905,6815864.177,4139698.867,6009512.828,6940472.046,9120891.555,5681579.396,6497326.397,7287232.755,9551495.696,9661453.43,5524289.904,11290939.32,7819471.96,2099381.166,6120881.741,4259398.792,4809682.788,6824351,4974011.499,2257330.355,14408585,6784266,6632615.496,103670.6526
Unknown 050,Unknown,1360613.656,926664.6518,490980.3776,1188751.193,93412.026,728432.5652,1260754.974,793302.9699,522268.7869,676048.2497,422726.016,1512283.314,469873.8391,1026242.69,365991.3182,433379.4431,1735639.804,527728.2474,124694.8467,667587.1053,1127277.334,656788.7779,366392.992,402996.6265,1689370,1027005.284,907886.2143,288475.9817,1801008,1657130.982,70291.50106,770550.3518,445816.0321,1413977.194,319092.9376,939533.5337,1567932,249936.0489,1101931,695124,1939398,95513.37618,1463944.21,1305747.995,1850260,156868.7725,999816,595399,1600196,2626014.991,1368391.718,718987,478488.3391,482081.5143,997134,723260.5255,335958.51,420149.466,351323.4482,424985.8923
Unknown 051,Unknown,619326.9835,994459.4128,678185.6553,529645.6714,259331.5602,308452.6672,359178.9568,429557,387067.8746,499787.2677,356669.6274,281156,208381.5282,427268.8092,218536,521816.8859,1172047.052,660974.2198,267303,519652.796,279722,487450.5884,1100150.93,1181906.557,315412.9334,582779.1582,414591,319328,280029.3486,299908.5196,131668.5121,257062,1597288.949,450182.8927,62392.1708,655633.1793,4605212.941,1265381.674,138116.9472,290076.0995,3992020.187,471615,393003,431389.1362,621774,3466454.836,2690513.036,422558.2289,3573727.425,202124.8706,357169.4266,166627.7228,271324.0879,2370970.958,355879.0698,266401,99302,98306,101927,77068.96632
Unknown 052,Unknown,2812254.57,2629459.564,1993756.889,1218031.47,1729422.232,3009055.349,2263110.188,3361441.581,448932.6438,1438264.221,1762174.192,2136663.765,73610,3090805.132,3268678.815,1560872,2081629.646,1383360.425,1309475.088,1270463,2693125,40303.29781,3507107.849,1212044.129,576506.9909,1637215.452,1253948.647,1443151.342,1726396.186,1485412.514,1294899.214,848806.4578,361315.5879,2489974.27,493103.0806,309466,1006399.516,3363204.249,1812834.816,2175875.241,1582790.559,1558388.083,2227194.086,817686.7455,2474729.101,828514.4758,622601.7319,825788.059,2456555.239,1472377.248,1573640.068,293064,2113681.915,400806.4765,2629578.034,1354824.905,1753505.929,1781402.835,1753685.07,112816
Unknown 053,Unknown,9617563.209,13549603.98,15001419.07,11300306.51,8522897.493,14626688.45,10648502.71,14076131.67,18168509.42,15033282.62,16677640.85,8608966.266,15657060.29,15634473.17,15930672.8,15984231.19,11587988.26,16688409.07,8497484.164,13663996.28,12763620.26,13674424.03,17196637.97,14466994.25,9394456.794,12214179.06,13871515.81,15014127.21,9336778.818,8195904.808,5572451.226,11253033.82,5843085.094,11471347.03,1400725.797,12509918.85,8149872.639,15205974.09,10139771.42,4051105.557,8545506.153,14537591.7,9408760.773,9311809.348,8114628.63,5154102.277,5939557.158,6552795.353,7095549.319,15293181.42,8735482.475,6726956.899,16502020.03,16525627,11734727.4,12332705.91,17610841.06,17669357.4,17152176.92,15711907.41
Unknown 055,Unknown,700672,309491,405867,992717.8357,344728.9897,409894.1491,290567,294613.8106,742819.2072,913496.4991,1129524,900512.8153,530101.1566,313597.7146,570417.3506,210944.5518,376107.8249,769242.1606,279472,1249976,332104.9371,638850.7253,1009013.246,906030.3667,856034.6422,198432,205535,1570814,389458.1941,853700,1082861,451798,279958.4824,699978,289505.8057,358831.069,759290,160953,208360,775193.051,921848,226254,325539,393067.6628,855578.6811,890829,526702.6071,926929.5811,143609,170716,1037172,1243579.606,232647,146046,689912.2995,127830,344325,124133,119068,411183
Unknown 056,Unknown,1206621,1048391.162,915983.8515,210916,282818,528709.6442,911504.1824,225051,475763,604283,171121,789510,469488.3329,580557,545679,218101,1450595,804281,459039,194839.6654,221870,714187,147386,177527,2680648.545,846839.3492,737847.7062,217522,3296306.257,1887959.002,663304,680421.6904,327203.4872,547589.6682,191588.422,793208.7569,656263.7701,1272001.206,987777.5495,187330.6238,3346976.539,1228397.602,935849.7887,826367.0056,2021315.581,914528.8026,947022.0823,938308,697831.3522,943414.0205,884774.626,507175.1067,856788.1148,1073068.934,343262.2724,614773.0688,646479.5195,600671.6796,624092.5976,621839.8123
Unknown 057,Unknown,8470338.494,7083075.823,4395960.443,3888599.453,5704616.155,4331857.763,2833889.93,3334255.772,3904844.337,3148372.044,10679538.64,2271521.903,1114548.766,3124234.671,3301892.238,3181121.656,3636225.945,5915762.783,2727109.685,14914430,3473272.806,2902279.828,3357671.015,2350986.4,2316673.788,2808032.198,2311337.796,2525011.523,2041264.415,2022360.296,1916003.931,1876210.988,751436.9206,4254524.409,355610.5749,1849733.898,1844140.059,1381053,3016910.433,2226893.3,10297027.81,3311762.952,1880573.981,3326216.28,9759320,883053.5834,5860844,822385.6002,1482364.874,2767429.5,2221044.191,1135073.533,2755520.841,3132925.457,2867299.458,2337396.77,1678592.785,1644732.591,1590701.732,1281478.337
Unknown 058,Unknown,7025651.989,12181868.41,12266659.26,4621615,6596606,6362798,7807932,4302480,12164723.45,11655578.28,12780835.54,5878186,2465101,7334945,10576729.49,9634401.611,12088117,13614984.27,6278656,3757037,12781438,5574133,11503404.05,10510296.5,5978134.654,10955762.65,5372740,3974248,10821851,10096798,6812429,4062765,3607868.303,7100950,2347048,4507554,11017734,11504871.57,4441000,4552401,11249484,12058114.64,9210647,5999336,3365545.545,7831114,1661019.534,2664737.802,11451284,11272831.59,6307506,4833357.317,3366079.095,11686021.87,3547832,3825941,2069508,2138791,2063400,2001889
Unknown 059,Unknown,0,1643346.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2746197.008,1466752.778,0,0,0,904155.4379,1076632.244,0,0,0,0,0,2350554.505,993427.8464,0,0,2261405.401,0,0,0,0,0,0,0,1935194.739,0,0,0,0,1265285.988,0,637849.2481,798077.9989,1113943.01,756786.5074
Unknown 060,Unknown,526824,925116,740789.7846,844709.1188,357983.7195,505301.8859,787906.3648,405471.5,2050872.006,572507.9613,974296,699391.1134,461657.4418,680887,1859886.588,1890505.382,217244.5562,1804235.473,675941.1024,602953.3269,512654.6117,463164.0283,778125.4428,1367887.017,518897.0528,2024535,1108284.435,967939.5689,509040.72,1177363.794,838753.6277,764350.7849,528208.386,764721.8485,122028.9161,689403.6068,950994,2033520,899362.6462,414217.2394,975126.6287,1659588,990092.1595,1262582.729,1257014,1151000.806,417039.1398,2057826.633,1048828,1582563,726609,1158358.826,985403.4965,3651709.789,1087500.014,1502531.81,571592,789180,991757,445054
Unknown 061,Unknown,3421653.618,2326395.004,1437203.978,2099740.057,5750949.633,10968654.02,12180264.6,2031991.205,1305844.514,1924349.93,2657864.321,8574641.913,4664542.052,12644545.59,2098161.833,2103615.338,11086152.57,1605237.25,10834615.56,10049741.09,10509315.79,8613149.541,1886387.976,2057470.426,7698179.73,3169413.654,7657536,2915373.619,8020776.052,7627530.769,7484881.563,1374865.843,5217440.024,8458579.765,2459377.66,7197881.15,5915423.337,3534387,8853969.874,10300943.41,6722799.49,2801093.103,6835152.611,8709272.195,7588016.097,6174828.769,8306017.788,4544666,9477404.907,2136582.167,9318260.212,6409411.623,10831172.42,2567395.329,9016860.25,9037630.441,8611197.344,8998839.125,8698728.23,7704315.444
Unknown 062,Unknown,416129,437788,329873.3528,311244.054,241888.8533,339928.6325,352490,318930.8971,369548.7597,296265.171,408874.4485,412053,278665.5047,374636,344833.3391,353198.5288,452846,1156930,501286,401869,1098981,379671,1180928.567,928845,516014,546580,498655,640893,475293,705905,424812,435742,234660,480424,476134,446648,519981,1382750.238,496101,9658254.331,548937,507773,655001,769407,5787770,2171518.337,3569606.649,1470180,1151877.235,690292.4362,566439.9259,290386.5048,382921.925,427110.7672,327000.9076,385480.4898,122432.9483,124876.4526,168678.208,760368.4711
Unknown 063,Unknown,1577809.099,1602440.832,6225935.188,5979834.073,3043640.226,6544094.765,6887292.528,7726153.225,4102743.765,8080518.592,4176360.713,6767790.708,1456943.808,6909180.957,3756888.69,7365052.901,1609950.62,1851965.351,1898684.416,1649863.773,4828596.417,1543281.331,2467417.928,1546225.756,1673937.034,1853236.921,1892419.9,2671718.468,1454579.876,2691233.483,6329720.611,1655544.056,854784.4613,1845193.165,2530062.351,1767244.069,1616689.965,4118029.194,1642216.606,7456028.769,1921211.949,1891600.843,2858489.376,3171859.044,8088178.095,4281098.445,4578721,3328200.02,5409118.828,3392334.977,7347601.643,4243257.901,7150706.068,5963624.374,4646209.954,3756846.435,1161560.654,1121586.246,968100.0409,897889.6125
Unknown 064,Unknown,30514785.28,10371666.84,39207672.08,17026545.91,24748411.69,10760980,21719951.09,8379072,42128828.87,3887820.608,37777222,18309243.36,70642096.08,7924031.207,35559971,37128224.76,29650627.25,38449247,18709004.29,35331094,16104397.45,6163007,39104917,35856506.89,27056492.25,11409543.85,7688035.738,3786168.463,33435074.62,31510018.94,35014732,8358385.019,7102162.919,23552331.99,18008941.75,38341860,24135981.92,10870694.09,19337909.68,44742436.64,36845546.6,14000462.26,26414396.95,22978507.82,34628209.62,35614642.18,24818053.06,8615266.922,24111080.1,2701054.307,17997379.73,15398143.86,4762687.643,38297430,14617448.48,7489242.751,39911052.69,37459572,36678168,36161576.6
Unknown 065,Unknown,1443115.356,817350.0513,1336171.586,854750.2581,781182.5291,508363.2454,1023771.768,859488.4079,688428.5826,429864.6345,776328.4711,937381.4705,809319.6351,616223.0615,680809.3282,793935.6673,625453.0086,1000877.802,2585017.901,890445.2393,646371.253,1033833.254,664487.2152,977490.7445,3426383,1121399.519,883900.821,4095132.816,1539321.843,1845526.091,626385.6784,719998.181,337012.7057,1150723.014,249185.7569,547671.1307,1081190.619,666583.4092,1172102.994,225779.7467,1560998.832,1002640.636,3613494.92,1308670.549,1410399.892,799940,612348.9948,263173.0729,1257994.427,392892,1021976.989,739824.9193,463284.4759,1237728.422,982492.0315,418828.4198,357972.7641,500085.7449,503863.0973,607972.8826
Unknown 066,Unknown,0,0,0,0,0,11718907.93,0,11641144.9,0,0,0,22942191.19,0,0,0,0,30167158.05,0,23713755.42,7254915.809,17474873.77,8555767.926,0,0,0,0,0,0,0,0,25664954.67,0,0,0,0,11655034.24,25019374.27,0,0,45053025.81,0,0,0,0,0,0,0,39981705.52,25704329.2,0,23056074.86,0,7974360.319,0,0,0,0,0,0,0
Unknown 067,Unknown,0,0,1119367.521,0,0,0,0,0,1343071.366,0,1234577.863,0,1239635.653,0,0,0,0,1189166.367,0,0,0,0,1285872.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 068,Unknown,806830.9103,1151107,1443170.103,4420509,478978.2355,1340201.769,4367871,1065815.946,537570,300792,1456506.652,3695085,664270.9403,1005956.396,638818.3394,647055.6098,2071362.074,692681.4994,3539383,776923.6811,1316536,1141408.834,187464,418885,950421,461381,635262,297644,2000462,1535798.42,1825436,331979,925620,670860.0359,239102.4223,983172.0705,2016388.281,1288829.713,818680,2492178.499,1131111.164,440991,1570273,752302,1418058,3277648.27,2662592.822,914822.4197,1778210.873,1471596.726,1319284.462,1434782,1040356,1497079.434,1007919,852187.9117,430168,929280.2687,5241393.786,1504175.173
Unknown 069,Unknown,272780.6096,777434.7535,648220.3103,636073.4833,394481.8585,194356.9847,596966.4183,625118.8592,355051,642966.3999,726136.0582,428119.9738,592795.9746,629139.9973,661915.2224,681030.7976,879853.476,683634.3786,347513.9524,499550.4962,619863.4051,570535.7892,573460.6665,234656.9555,475282.2309,596364.059,363261.7349,719414.2324,525293.8589,492702.3523,349231.3945,647662.7633,176399.1022,902617.8962,215675.6364,623570.1638,411112.6039,309200.5704,344286.4197,415212.8887,314183.7935,787498.2941,437190.9446,461319.2256,784980.0252,736657.6954,541159.2846,731991.7729,387627.4288,751273.7784,541733.6834,178051.6215,280462.351,265689.9935,1024163.671,457560.5228,372110.8352,417522,495255.3028,656124.9082
Unknown 070,Unknown,72264787.79,87510464.69,86417648.66,74306816.64,56032163.77,84265597.45,71776490.34,76477621.93,90874953.39,83343252.62,85949603.28,65403297.24,87663088.57,81983207.89,81677866.33,81146205.26,79450890.42,87872972.11,57344724.29,77502366.04,83441634.06,82561499.08,85298097.02,79559508.62,70328136.53,83029271.86,82627893.23,81370243.16,71319523.36,69605520.4,63538599.07,77258353.29,46881707.67,78542981.22,22374482.13,78005794.24,70204434.57,84614798.49,73521526.55,48418540.72,73590169.15,83999267.01,69627402.11,69072647.24,67100197.73,50822172.32,39161964.11,33688489.9,65260210.83,88145573.74,70607414.37,51143399.14,83904801.72,87952604.57,76007061.27,76364257.82,86616254.7,84904224.78,83727774.15,79070896.35
Unknown 071,Unknown,0,920307.9967,627812.0328,705030.2128,0,0,0,766613.9931,0,0,712302.6784,0,0,0,0,0,0,828424.3747,0,0,0,713717.399,570351.1895,689514.5463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216309.447,0,0,0,0
Unknown 073,Unknown,0,0,0,0,0,577344.4941,0,0,0,0,0,0,0,0,0,0,811965.1544,0,0,0,0,0,0,0,0,0,0,0,0,134888.8001,0,0,0,350506.9142,0,0,0,0,0,340719.6391,0,0,0,0,568029.5444,0,0,0,0,0,0,0,1100570.707,0,0,0,0,0,0,0
Unknown 074,Unknown,259323,195581.5384,147251.3117,192653.9276,136505.0787,240943.5302,259043.3276,125777.0075,157749.7715,152532.2714,150784.8574,286825.5121,114841.2609,282287.0031,211803.3302,226166.5203,253824,158284.7765,207296.5406,235115.0121,246435.9538,180101.3851,123880.352,111192.9044,289038.4534,284903,303968,333171,272573,330650.4259,253721.5501,279491.2075,203920.3879,267735,103506,240542.1865,405562.3616,163108.6559,304339.7867,470331,364346,130266.6567,255180.5588,188197.2418,736446,831338.8284,323574.0746,360543.5921,351683.4512,249367,389429.6312,246727.5022,241337.9922,137770.3017,212703.4314,272627.9596,110281.8199,132487.7663,168531.4801,120966.5688
Unknown 076,Unknown,497977.0284,71047.31573,306472.5195,256660.5578,291136.6356,562199.0713,387305.4506,597734.1051,423563.263,501183.4748,245699.2531,334718.5483,442150.3265,483949.2123,56323.36569,89758.86326,447916.6872,600349.0804,186441.572,555404.2217,551696.5727,526138.6335,407247.4165,48772.69089,436369.6329,530099.4723,276263.2547,61511.41069,450254.5536,376328.1604,287728.5587,154310.5785,170637.3325,542800.2517,138073.627,152434.0612,190420.8081,537093.3671,367689.3641,243285.0859,358630.231,579247.1195,406149.2654,276346.642,131546.9954,276200.9504,229456.8889,226794.4913,347349.5888,193736.1639,411302.2976,287367.6923,453046.1283,152964.7069,211086.0608,251305.687,416216.1627,382640.8287,362027.5033,197841.4021
Unknown 077,Unknown,1325954.451,2062944.245,2123835.811,1913632.866,505695.3904,1350594.754,1344867.986,1740898.229,1669035.639,1874175.511,2262698.493,1394050.434,590469.1533,1295108.521,1278976.334,1441835.127,1151211.152,2053539.872,576462.7224,1656335.982,1418695.295,1827189.332,2119438.653,1934835.607,952515.6047,1515305.984,1453675.939,1832387.056,836998.2247,1384610.872,1117124.15,1660642.329,73365.89265,1535058.798,352740.4664,1472619.296,123077.562,1593024.098,1011306.976,1038512.303,899479.6339,1752521.181,1195005.199,1384897.278,615902.2409,408964.3946,310840.1874,204286.1945,395186.9756,1521302.269,1359480.24,340851.7431,1287152.685,2293523.231,1146855.965,2083808.949,655742.6537,743846.4496,593939.2894,780845.3018
Unknown 078,Unknown,1664049.891,2585292.099,1758567.21,1456736.196,853831.8563,1683753.344,1130960.123,1351890.52,1752717.017,1736050.661,1895410.305,908878.0303,1025208.066,1849109.087,2005890.437,1613936.961,1510459.239,1915812.941,1145050.071,1496292.406,1761391.384,1537108.921,1791334.154,1787875.648,1810275.27,2128148.282,2076686.749,1694507.549,1476360.84,1750078.508,1293153.818,1503331.26,711474.715,1508688.169,533222.4072,1517268.559,1335509.033,1660371.978,1393186.906,342646.7858,1423502.451,1669386.496,1054590.366,1336198.064,1330462.169,707831.9831,684187.6577,442086.4142,1192727.031,1448948.332,1811539.408,1015295.658,1676376.632,2041120.827,1239846.486,1632812.46,1737905.665,1336300.727,1381046.917,1119926.166
Unknown 079,Unknown,4407754.905,4537954.338,3412086.699,3811914.305,1756192.656,3150285.169,1455330.175,3200372.342,3161418.68,3611856.578,3576255.019,278960.125,2460953.546,3715469.94,3997839.534,3747051.111,3228541.921,3396017.511,1223996.897,3212373.202,3194654.16,2937952.564,2033379.354,3322125.269,4394584.216,4256146.889,4583884.862,4316131.426,2765021.281,332871.7973,266862.836,3773026.039,1427868.472,3605031.879,789593.7743,3674924.515,1298042,4208296.055,3562274.851,1688297.579,3638788.115,4226533.034,1402320,4804663.374,3756525.812,3232477.141,2501974.168,3298263.253,2870750.151,3458886.216,241540.9103,1776071.216,3692240.787,3922069.561,3165721.663,356027.5116,3639517.645,3943053.152,4084563.631,3546350.291
Unknown 081,Unknown,439166.5358,222262.6661,136202.4599,190593.9025,154537.4134,233643.8325,341334.2123,244680.9878,186105.3646,338164.7849,204601.1469,322936.3225,193588.0011,251213.1037,194914.5083,209061.6978,308177.326,224492.7166,321070.2197,244188.5497,219016.906,270042.5768,138731.0955,150938.9847,398188.411,225405.268,209209.6781,218109.2598,263987.3941,350717.1096,313172.7973,165144.3065,166960.9537,508165.9191,53934.76616,218150.5655,331874.23,184073.8506,361625.5933,514645.2931,334266.9909,283503.3043,348337.6567,331789.1221,2233918.931,570145.7408,1183278.341,2045281.116,386445.9571,190612.7191,287252.9662,245841.4618,269908.6612,193969.7892,334147.2216,215780.0805,220474.3626,251947.5178,220152.2635,195102.1257
Unknown 082,Unknown,4984857.885,3528356.828,2665118.47,3778314.763,3420831.484,4803396.793,4792431.742,5303147.797,1523634.786,3565798.265,2458915.6,4759406.415,2021576.279,5319602.544,3550757.569,3285414.077,5880081.471,2894229.697,4936621.581,4979625.147,4795441.534,4720421.542,2183418.255,2979373.906,5658856.766,3701459.325,3563560.267,2611460.369,5407580.683,5454560.88,5140920.931,3338864.89,3136824.879,4869014.2,977358.6231,4529205.48,5003126.556,3168644.548,4591242.532,4673029.62,6049291.146,4004239.666,4995696.327,3945032.304,5617156.045,3007698.554,3739390.917,1953466.381,5493392.236,3428786.85,5707447.487,3876301.199,4796098.941,2639082.698,4774765.965,4633460.354,3813831.273,2254424.726,1732264.143,2282004.241
Unknown 083,Unknown,503374.8999,53713.51615,76520.78733,388322.5096,36487.62657,389164.198,318866.5569,36439.58418,483325.9737,390660.9867,481836.5342,311330,347375.6017,398751.7483,356740,80084.8663,489020.2703,429372.0261,69226.73821,55614,451951.2895,58638,548370,127017.0839,402114.3525,521104.2249,516076.0823,502306.8822,449232.418,281372.4567,212865.9328,409369.7213,56615.12017,425906.2223,0,48410.99268,309766.6953,231709.399,364355.9264,48595.52651,407485.4798,184500.1898,380872.8195,391578.0876,202176.0034,182422.3351,102515.3485,98060.56898,198085.9953,341707.3215,143952.7085,98513.12315,539404.6881,532631.2445,441958.7143,417414.7825,405101.2656,370110.4527,423883.2754,355443.541
Unknown 085,Unknown,131212.7788,410294.0899,260501.2606,275884.5058,173635,339153.8187,360624.2484,157530.9813,245256.4837,222652.6721,146263.4062,3790488.926,53577.04607,308953.415,229832,225354.5702,4436526.889,3318820.736,3517757.218,518217.8389,4052188.056,419170.4527,167522.313,135471.181,5017816.356,3269355.762,3741561.966,3233178.589,85863,706818.8579,679292.3429,29252.59337,2451326.427,168955.6954,48753.11974,399737.9368,3502712.303,3043935.715,4470956.958,3831500.073,4833095.565,4039692.853,3590674.081,4009238.742,5713417.424,4386603.515,1065158.257,3832990.735,4948075.72,3663483.56,932684.9838,3305832.998,548415.4349,87999.03782,3914821.644,4095914.032,195708.415,186700.9781,219850.1605,235404.6162
Unknown 086,Unknown,3655147.403,1782168.41,1782223.835,3037423.76,3511776.516,5535148.45,4754699.047,5742766.256,757246.6089,2219057.639,1481378.987,4199472.92,8189649.922,5820155.067,5680426.205,5345048.94,4618717.927,1914615.896,5572732.414,5062281.84,5382408.772,4569079.663,2542744.2,2841330.953,5658134.282,2180095.983,2900628.422,2008485.322,4983351.478,5141659.137,5209494.144,2855793.748,2957330.036,4548869.575,207840.1119,4215302.008,2240313.278,1152878.638,3620310.175,615700.7649,3617800.798,2304736.843,4762785.995,3259846.681,1463671.063,988550.8296,1049854.26,1044363.728,2695524.741,2143581.241,4592948.253,4008524.998,4457562.116,2549478.143,3573272.352,4218000.672,10935128.04,8519215.977,8227579.379,8797930.072
Unknown 087,Unknown,459621.7408,659707.7734,0,607398.3202,0,0,0,0,0,0,0,0,0,609532.5152,533609.1091,0,0,0,330821.0244,0,486865.7522,640220.7117,0,0,0,0,0,723547.2537,561087.2399,0,460873.4763,0,0,539329.6261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542406.0761,0,0,0,0,0,0,0,0,0
Unknown 088,Unknown,585258.6623,611782.4815,335501.6627,537499.1872,477142.8417,707961.3314,241019.7847,489592.555,426014.0291,393588.0389,513982.3468,465453.633,274762,584945.5297,560636.5921,442428.2985,796727.2503,348579.1271,300320.6634,472687.3893,474585.6068,376645,372747.0412,309186.3221,639634.6985,800337.8552,612146.8646,691697.319,672935.7784,491572.2699,568457.5513,478998.8676,415181.9613,601568.2245,44631.2153,315858.7895,182457.7464,786242.3495,451347.8542,428965.8328,507741.3597,640410.569,341370.7236,573860.4929,874557.59,681380.3416,731744.7813,324443.8415,167517.577,416198.8279,668997.7427,97228.2639,152112.6843,504602.9336,292982.2916,609557.5507,137439.6014,64112,537143.6058,795795
Unknown 089,Unknown,367903.6036,383227.1781,752573.1057,582853.2375,319578.971,713624.5995,578207.8309,567629.3458,672115.2728,559204.3942,424630.8125,446475.3783,385725.0913,582174.4121,673666.918,609580.0181,266506.462,213906.2917,249062.5449,254101.5326,206289.3148,181928.6249,490114.0052,308973.7994,285455.0533,442909.241,488977.3687,348456.759,237246.3217,271434.478,145810.3753,299922.6897,170073.8147,341782.9458,57395.44362,391505.9298,239336.8403,355070.5015,373565.3331,85020.23326,257315.0264,363763.5446,269593.5832,288439.1806,1453703.924,194265.9244,149424.1974,3392357.945,667080.0912,325896.5249,324584.8483,232912.4267,762512.806,771605.8943,591712.8175,582235.4682,453032.2923,362634.7912,337158.0108,296785.8722
Unknown 090,Unknown,502387.507,1081805.06,764232.362,380842.8216,360684.6511,566375.7518,320865.815,619758.0936,494747.0389,542372.1232,588071.3099,472194.959,320841.0265,647746.1708,625151.1273,678556.8437,736909.6219,776807.994,443881.4795,714806.3891,546947.4738,503528.8681,743398.4988,610513.1165,13936283.13,12810370.88,9307135.806,16519693.56,5763490.753,7708103.761,6175624.879,5539252.718,259579.8557,768424.6498,130576.9216,609670.6195,17091789.08,16586855.59,14357914.77,6683602.327,9263217.881,9979642.457,5964460.729,8585243.679,86883484.57,39633976.31,47297876.46,58772128.75,12288382.09,12594920.46,18040231.66,9001958.904,5212020.454,5572158.552,3487428.726,2632521.63,2985883.778,3153635.431,3130930.674,2885964.063
Unknown 091,Unknown,641876.7005,1358241.874,1485589.438,1419405.82,301468.2254,638103.8421,830877.9612,1085301.796,975467.2731,1375153.115,48008.25332,918525.0895,78638.55212,1085718.277,2357742.887,2565831.305,578190.7234,1588221.834,493163.9977,1301222.451,913013.73,1038635.691,1428964.378,1696062.32,474193.1425,1758942.889,1529179.231,1250226.137,592998.511,701464.1992,645885.1603,1604525.852,214016.2638,982103.803,161805.8175,1869966.42,365636.6279,2487154.427,889463.7883,682063.2804,539290.5899,2000527.978,692831.925,1094254.149,4523078.462,2792113.907,3268178.515,4156368.611,227090.6283,2070106.788,786277.3899,1049443.999,1222533.594,4089663.333,1432100.229,1832382.678,929631.4643,1445510.034,1695965.287,1275826.346
Unknown 092,Unknown,4051395.569,6573751.333,8947973.63,9137058.482,2095477.552,5203360.37,5813953.411,7883401.56,4539682.788,6462724.665,8025168.261,7805879.363,4272674.52,6008905.505,5924411.719,8887860.015,3598132.707,6835916.821,4152022.305,8047226.219,3685362.477,6721916.517,7478866.331,7605635.249,2115344.771,3444428.354,7931372.366,8537382.111,1959156.938,6791725.42,6756297.977,8517332.739,1512445.681,5055663.898,1195160.37,7870732.779,162730.4478,166459.0717,6160345.127,2127605.433,2186673.741,7544165.518,5955469.983,8237551.29,187729.7566,216254.3494,1997780.807,200423.7243,819769.6995,6660118.55,7806150.47,5534274.558,3235304.511,7796075.373,6580116.267,8150761.18,3856021.503,4442001.961,4693649.376,5865693.509
Unknown 093,Unknown,0,0,0,0,0,0,0,0,1053323.583,0,0,0,0,0,795082.7867,920597.3916,0,815874.5886,0,0,0,0,496403.267,634498.0241,0,0,0,0,0,0,0,0,0,0,0,366828.2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2671214.66,0,651906.371,0,0,0,0
Unknown 094,Unknown,1608222.207,2087921.949,2941782.669,1694134.18,1350952.707,1936808.816,1842611,1758033.534,2527942.206,3068865.088,2243151.871,2096174.779,2582671.214,2076291.112,2588861.337,2220939.012,2122174,1914941.807,2266488.365,2856965.713,2327969.098,1886674,1914587.092,1441058,1633300.18,1517532,1843092.879,1513161.565,1928571.465,1968615.351,1810137.377,1435969,1006593.327,2123017.767,371206.0415,2940586.304,1943820.698,1328062.123,1405593,1259389.334,1910952.855,1735837.529,1795946.345,1712162.231,2002877,1511791,1005247.908,836446,1629526.583,2596450.69,1777007,1143875,1766478,1668915,2189548.596,2987196.382,1727821.062,1533382.556,1510676.689,1485204.4
