Metabolite,Compound.Class,Soil 1,Soil 2,Soil 3,Soil 4,Soil 5,Soil 6,Soil 7,Soil 8,Soil 9,Soil 10,Soil 11,Soil 12,Soil 13,Soil 14,Soil 15,Soil 16,Soil 21,Soil 22,Soil 23,Soil 24,Soil 25,Soil 26,Soil 27,Soil 28,Soil 37,Soil 38,Soil 39,Soil 40,Soil 41,Soil 42,Soil 43,Soil 44,Soil 49,Soil 50,Soil 51,Soil 52,Soil 53,Soil 54,Soil 55,Soil 56,Soil 57,Soil 58,Soil 59,Soil 60,Soil 61,Soil 62,Soil 63,Soil 64,Soil 69,Soil 70,Soil 71,Soil 72,Soil 73,Soil 74,Soil 75,Soil 76,Soil Pre r1,Soil Pre r2,Soil Pre r3,Soil Pre r4
Unknown - Carbohydrate (Monosaccharide) 008,Unknown - Carbohydrate/Glycoside,408597.6514,881369.588,372236.2031,362226.33,451359.1522,557100,1082484.042,245979.7747,616675.1604,377228.928,384560,406206.1418,453038.2938,604470.3201,857658.0947,1200439.924,907952.0402,445946.5358,393978,501164,413600,437097.3762,265928,501546.865,809927,1002857,487158,419728,934326,989622,650216.7249,751251,365877.8197,882041.5493,41791.6262,352634.7824,1093799,1071902,977257,1322065.787,1036837.181,1150507.055,1408246.341,923520.5975,7922188.167,6810276.203,4687386.158,9427995.168,1190029.044,1112324.589,1890081.836,936638.0084,2416877.423,1704793.486,1354370.219,660117.4587,1542448.924,1639433.582,1645978.988,1490465.453
Unknown - Carbohydrate (Monosaccharide) 009,Unknown - Carbohydrate/Glycoside,668965.9405,737803.3913,505492.407,559239.2481,276882.5567,733723.6625,655749.6895,410335.8121,773142.8561,404356.6376,904456.5603,639832.9354,235753.9435,717475.0902,833896.7136,1114198.974,1258387.397,664009.8353,498390.7641,893435.552,586926.5811,396773.3679,582877.2765,612166.7609,25425738.59,22778080.26,18675250.84,20847242.38,10069178.89,14813846.8,8816187.529,8633401.766,468259.3674,966280.6547,52158.20066,705448.9006,21555547.25,17768105.26,17106042.54,15155986.5,13346189.2,13478780.88,9193806.468,11928501.63,41910020.16,34920956.17,23235343.69,30532515.38,13624695.77,14902825.01,18718994.95,9464344.773,7562196.894,6702691.878,4309205.734,5990875.333,9279203.484,9231965.516,8974947.209,8264271.221
Unknown - Carbohydrate (Monosaccharide) 010,Unknown - Carbohydrate/Glycoside,2728591.178,3474610.065,2369936.038,1933801.254,1485686.372,5041284.4,4072636.443,2275228.534,5935539.391,3554665.008,4269321.586,2820198.936,1176233.354,5118093.375,4597944.562,6186954.526,5064200.375,4394824.937,1720649.977,3001929.865,4485993.62,2708433.545,2988212.74,2237318.858,39002895.13,3777501,3061896,2567616,3352583.478,2982558.305,2585374.314,2438581.763,776432.3683,2463137,120189,1480409,3058856,4275088,3762693.008,4476570.957,5135717.48,3620704.888,2267158.126,2873716,10521533.65,9900149.164,4454913,43344133.87,6656863.741,2685548.609,4779161.642,2679455.553,3736542.052,3739542.271,2386501,2141984,31482035,29833311,30443776,29052205
Unknown - Carbohydrate (Monosaccharide) 011,Unknown - Carbohydrate/Glycoside,1721138,1054530,842893.4424,612302,7929622,1317282,880119,632616,1544264,986301,10549825,10563829,501649,13186444,2582712,2241594,1502556.258,972916.7366,438402,976426.2624,1087614.425,759375.0044,1492493,700454.7292,1635579,2545498.082,1562211,4355768,1569085,2030713,1514390,1065281.468,7034581,1115022.229,146333.9746,811821.7394,3138695.359,18936198,1540419,1676517.706,2755969,1581898.531,654671.257,6898959,19868889.84,15394758.64,16360264.66,13061433.84,2241980,1237228,2225649.626,1083139.399,1825078.554,1981250,1403696.38,1259723,9870837.343,799742,809910.3218,1186270
Unknown - Carbohydrate (Monosaccharide) 012,Unknown - Carbohydrate/Glycoside,0,0,0,0,0,0,2068012.226,602773.8387,2654880.344,2085304.448,2063689.277,1791047.582,0,3273430.212,3125737.681,2663701.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109437.195,0,0,1633442.921,0,0,0,0,0,780634.3798,1830784.139,0,1052166.422,1155532.234,0,0,0,0,0,0
Unknown - Carbohydrate (Trisaccharide) 001,Unknown - Carbohydrate/Glycoside,6378.965739,3899.09453,0,0,0,0,0,0,0,0,6468.415449,0,0,1143.73467,1742.347764,3538.151388,459265,985.0923913,0,0,21746.84404,0,0,0,6184538.364,4904101.258,4055814.469,4966482.316,1675810.02,3180434.189,1216179.916,1206246.472,0,533664.2939,854.1384589,24862.67708,5928506.174,5249539.069,4028643.365,4367058.719,3103305.219,4157395.571,610012.7444,3334940.793,36670480.68,36316269.61,53918987.24,30911465.62,6500145.081,1739037.93,3252400.626,1814955.715,1728700.474,1370465.1,317892.7147,811899.6805,0,5944.314201,301813.5377,0
Unknown - Carbohydrate (Trisaccharide) 002,Unknown - Carbohydrate/Glycoside,0,626440.0135,431100.6621,0,0,8671.194128,712083.7847,481160.9994,987599.8686,516005.965,811791.1556,10050.57667,0,9449.836256,960584.4604,1683138.542,1317100.931,796671.5753,0,0,537433.4502,295012.0964,72701.44482,194174.3386,1727281.87,720067.3735,419275.8418,767322.7109,1405692.642,997423.6229,966467.2851,944287.3028,0,7090.347451,0,7890.753906,1188479.96,1769390.542,2296278.746,1309682.97,2237139.318,1347515.535,4042.497811,1189452.119,24857656.53,18749230.11,12191296.94,22677248.66,1984833.382,594220.4834,563775.315,693411.831,842451.4986,1075857.744,1512.816098,822423.1937,0,0,0,0
Unknown - Carbohydrate (Trisaccharide) 003,Unknown - Carbohydrate/Glycoside,0,416561.2859,295069.6621,0,0,8240.516692,489362.7847,371791.8351,815817.0454,421464.114,760825.6971,5058.433411,0,11021.48723,784133.4755,1324290.659,1082951.966,559336.4974,0,782.8698307,357461.836,143319.0929,56884.87378,128000,3404681.43,2814141.933,2022597.139,2906637.068,1189465.55,1371414.531,807782.4658,928159.7429,0,6645.472169,0,8112.875382,5264571.342,2873653.404,977523.8182,1311779.517,2294301.912,1010633.408,0,1476950.223,23745859.24,20703426.85,13342853.63,20888405.42,3660626.905,362457.7358,2289336.479,433502.7521,807252.6551,870487.9829,722.4239411,580645.1608,0,0,0,0
Unknown 002,Unknown,7360360.477,8008326.701,5044923.314,7239564.832,549061.8273,9535782.783,6619037.145,7985425.127,4211135.493,5247386.437,3345889.151,7736322.956,7210704.841,7838067.922,12111420.2,3864011.751,9532409.696,5916319.189,1945239.913,8160347.56,10830276.62,3543599.028,5238071.075,6309591.616,7607479.917,7120646.262,6639006.437,6235229.465,7318557.833,8267530.179,8561525.937,6673287.955,1950448.535,7312859.131,1165225.575,7958120.542,5922145.41,6722588.429,6408974.02,3808309.759,6929187.912,8429785.574,6110836.014,5566231.67,7205899.215,4750421.273,1677388.201,8460162,4194960,7123407.124,5574142.684,7524586.167,9705156.783,2498396.759,6657709.739,7047491.697,4231538.435,7411007,7250574,7417424
Unknown 003,Unknown,1864871.229,1647994.875,2608889.281,3272978.612,854315.9346,3386081.847,2238537.9,1507470.878,3406725.883,3449496,2056532.67,1845392,963751.1332,3136578.602,1357552.533,1883209.57,3007992,1581622.088,1378143.02,2747476.614,2837632,2318384,2132378.11,1091875.382,2163278.748,3086585.033,3114786.958,5532701.665,2511793.045,1333099.055,3401319.683,2640386.291,1206416,1637436.413,5093846.716,1458112,2557408,2834390.899,1151253.697,1676864,828810.5252,3583328.507,3107233.7,1863429.27,3357632,1460096,4337027.701,3043712,2962133.118,4199481.743,2398323.826,1496691.535,1788512,1113438.135,2462521.039,2934528,879047.435,1092997.881,1011053.946,1104389.219
