"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C41H56O15","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.194,-0.6341,1.37,0.37,-1,14,-0.0244
"C38H60O17","[M-H]-","aliphatic","aliphatic",0.0169,-0.6842,1.58,0.45,-8,9,-0.2105
"C42H60O14","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1714,-0.7619,1.43,0.33,-1,13,-0.0238
"C47H60O8","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3256,-0.9362,1.28,0.17,10,18,0.2128
"C39H64O16","[M-H]-","aliphatic","aliphatic",0,-0.8205,1.64,0.41,-8,8,-0.2051
"C43H64O13","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1507,-0.8837,1.49,0.3,-1,12,-0.0233
"C41H68O12","[M+Cl]-","aliphatic","aliphatic",0.0571,-1.0732,1.66,0.29,-4,8,-0.0976
"C40H68O15","[M-H]-","aliphatic","aliphatic",-0.0154,-0.95,1.7,0.38,-8,7,-0.2
"C40H50O14","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.2727,-0.55,1.25,0.35,2,16,0.05
"C40H54O16","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1875,-0.55,1.35,0.4,-2,14,-0.05
"C41H58O15","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1642,-0.6829,1.41,0.37,-2,13,-0.0488
"C43H66O13","[M-H]-","aliphatic","aliphatic",0.1233,-0.9302,1.53,0.3,-2,11,-0.0465
"C36H52O17","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.0909,-0.5,1.44,0.47,-6,11,-0.1667
"C45H56O10","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.325,-0.8,1.24,0.22,8,18,0.1778
"C41H60O15","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1343,-0.7317,1.46,0.37,-3,12,-0.0732
"C40H68O13","[M+Cl]-","aliphatic","aliphatic",0.0149,-1.05,1.7,0.32,-6,7,-0.15
"C28H42O26","[M-H]-","aliphatic","aliphatic",-0.3333,0.3571,1.5,0.93,-18,8,-0.6429
"C40H58O16","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.125,-0.65,1.45,0.4,-4,12,-0.1
"C41H62O15","[M-H]-","aliphatic","aliphatic",0.1045,-0.7805,1.51,0.37,-4,11,-0.0976
"C43H70O13","[M-H]-","aliphatic","aliphatic",0.0685,-1.0233,1.63,0.3,-4,9,-0.093
