"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C24H40O4","[M+Cl]-","aliphatic","aliphatic",0.1364,-1.3333,1.67,0.17,1,5,0.0417
"C23H40O7","[M-H]-","aliphatic","aliphatic",0.0256,-1.1304,1.74,0.3,-3,4,-0.1304
"C21H44O6","[M+Cl]-","aliphatic","lipid",-0.1667,-1.5238,2.1,0.29,-6,0,-0.2857
"C27H40O4","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.24,-1.1852,1.48,0.15,4,8,0.1481
"C24H44O6","[M-H]-","aliphatic","aliphatic",0,-1.3333,1.83,0.25,-3,3,-0.125
"C28H44O3","[M-H]-","aliphatic","aliphatic",0.2075,-1.3571,1.57,0.11,4,7,0.1429
"C25H48O5","[M-H]-","aliphatic","aliphatic",-0.0222,-1.52,1.92,0.2,-3,2,-0.12
"C26H52O4","[M-H]-","aliphatic","lipid",-0.0417,-1.6923,2,0.15,-3,1,-0.1154
"C13H20O13N1P1","[M-H]-","aliphatic","aliphatic+N",-0.7778,0.6923,1.54,1,-10,5,-0.7692
"C24H31O6N1","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.3,-0.6667,1.29,0.25,3,10,0.125
"C26H39O4N1","[M-H]-","aliphatic","aliphatic+N",0.2174,-1.0769,1.5,0.15,3,8,0.1154
"C23H43O6N1","[M-H]-","aliphatic","aliphatic+N",-0.0526,-1.2174,1.87,0.26,-4,3,-0.1739
"C24H47O5N1","[M-H]-","aliphatic","aliphatic+N",-0.0732,-1.4167,1.96,0.21,-4,2,-0.1667
"C24H30O7","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.3171,-0.6667,1.25,0.29,3,10,0.125
"C22H34O6","[M+Cl]-","aliphatic","aliphatic",0.1579,-1,1.55,0.27,0,6,0
"C25H34O6","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2727,-0.88,1.36,0.24,3,9,0.12
"C23H38O5","[M+Cl]-","aliphatic","aliphatic",0.122,-1.2174,1.65,0.22,0,5,0
"C22H38O8","[M-H]-","aliphatic","aliphatic",0,-1,1.73,0.36,-4,4,-0.1818
"C26H38O5","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.234,-1.0769,1.46,0.19,3,8,0.1154
"C24H42O4","[M+Cl]-","aliphatic","aliphatic",0.0909,-1.4167,1.75,0.17,0,4,0
"C23H42O7","[M-H]-","aliphatic","aliphatic",-0.0256,-1.2174,1.83,0.3,-4,3,-0.1739
"C27H42O4","[M-H]-","aliphatic","aliphatic",0.2,-1.2593,1.56,0.15,3,7,0.1111
"C25H46O3","[M+Cl]-","aliphatic","aliphatic",0.0638,-1.6,1.84,0.12,0,3,0
"C24H46O6","[M-H]-","aliphatic","aliphatic",-0.0476,-1.4167,1.92,0.25,-4,2,-0.1667
"C28H46O3","[M-H]-","aliphatic","aliphatic",0.1698,-1.4286,1.64,0.11,3,6,0.1071
"C26H50O2","[M+Cl]-","aliphatic","aliphatic",0.04,-1.7692,1.92,0.08,0,2,0
"C25H50O5","[M-H]-","aliphatic","lipid",-0.0667,-1.6,2,0.2,-4,1,-0.16
"C26H53O1N1","[M+Cl]-","aliphatic","lipid",-0.0204,-1.8462,2.04,0.04,-1,1,-0.0385
"C23H28O8","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.3158,-0.5217,1.22,0.35,2,10,0.087
"C21H32O7","[M+Cl]-","aliphatic","aliphatic",0.1429,-0.8571,1.52,0.33,-1,6,-0.0476
"C24H32O7","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2683,-0.75,1.33,0.29,2,9,0.0833
"C22H36O6","[M+Cl]-","aliphatic","aliphatic",0.1053,-1.0909,1.64,0.27,-1,5,-0.0455
"C21H36O9","[M-H]-","aliphatic","aliphatic",-0.0303,-0.8571,1.71,0.43,-5,4,-0.2381
"C25H36O6","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2273,-0.96,1.44,0.24,2,8,0.08
"C23H40O5","[M+Cl]-","aliphatic","aliphatic",0.0732,-1.3043,1.74,0.22,-1,4,-0.0435
"C26H40O5","[M-H]-","aliphatic","aliphatic",0.1915,-1.1538,1.54,0.19,2,7,0.0769
"C24H44O4","[M+Cl]-","aliphatic","aliphatic",0.0455,-1.5,1.83,0.17,-1,3,-0.0417
"C23H44O7","[M-H]-","aliphatic","aliphatic",-0.0769,-1.3043,1.91,0.3,-5,2,-0.2174
"C27H44O4","[M-H]-","aliphatic","aliphatic",0.16,-1.3333,1.63,0.15,2,6,0.0741
"C24H49O4P1","[M-H]-","aliphatic","lipid",-0.0952,-1.7083,2.04,0.17,-4,1,-0.1667
"C25H48O3","[M+Cl]-","aliphatic","aliphatic",0.0213,-1.68,1.92,0.12,-1,2,-0.04
"C24H48O6","[M-H]-","aliphatic","lipid",-0.0952,-1.5,2,0.25,-5,1,-0.2083
"C28H48O3","[M-H]-","aliphatic","aliphatic",0.1321,-1.5,1.71,0.11,2,5,0.0714
"C26H52O2","[M+Cl]-","aliphatic","lipid",0,-1.8462,2,0.08,-1,1,-0.0385
"C25H52O5","[M-H]-","aliphatic","lipid",-0.1111,-1.68,2.08,0.2,-5,0,-0.2
"C27H56O1","[M+Cl]-","aliphatic","lipid",-0.0189,-2,2.07,0.04,-1,0,-0.037
"C24H31O4N1","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3333,-0.8333,1.29,0.17,5,10,0.2083
"C23H31O7N1","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2432,-0.6087,1.35,0.3,1,9,0.0435
"C24H47O3N1","[M+Cl]-","aliphatic","aliphatic+N",-0.0233,-1.5833,1.96,0.12,-2,2,-0.0833
"C25H51O2N1","[M+Cl]-","aliphatic","lipid",-0.0435,-1.76,2.04,0.08,-2,1,-0.08
"C22H26O9","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.3143,-0.3636,1.18,0.41,1,10,0.0455
"C24H30O5","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3488,-0.8333,1.25,0.21,5,10,0.2083
"C23H30O8","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2632,-0.6087,1.3,0.35,1,9,0.0435
"C21H34O7","[M+Cl]-","aliphatic","aliphatic",0.0857,-0.9524,1.62,0.33,-2,5,-0.0952
"C25H34O4","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3043,-1.04,1.36,0.16,5,9,0.2
"C24H34O7","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2195,-0.8333,1.42,0.29,1,8,0.0417
"C22H38O6","[M+Cl]-","aliphatic","aliphatic",0.0526,-1.1818,1.73,0.27,-2,4,-0.0909
"C25H38O6","[M-H]-","aliphatic","aliphatic",0.1818,-1.04,1.52,0.24,1,7,0.04
"C23H42O5","[M+Cl]-","aliphatic","aliphatic",0.0244,-1.3913,1.83,0.22,-2,3,-0.087
"C22H42O8","[M-H]-","aliphatic","aliphatic",-0.1111,-1.1818,1.91,0.36,-6,2,-0.2727
"C26H42O5","[M-H]-","aliphatic","aliphatic",0.1489,-1.2308,1.62,0.19,1,6,0.0385
"C24H46O4","[M+Cl]-","aliphatic","aliphatic",0,-1.5833,1.92,0.17,-2,2,-0.0833
"C23H46O7","[M-H]-","aliphatic","lipid",-0.1282,-1.3913,2,0.3,-6,1,-0.2609
"C27H46O4","[M-H]-","aliphatic","aliphatic",0.12,-1.4074,1.7,0.15,1,5,0.037
"C24H51O4P1","[M-H]-","aliphatic","lipid",-0.1429,-1.7917,2.12,0.17,-5,0,-0.2083
"C25H50O3","[M+Cl]-","aliphatic","lipid",-0.0213,-1.76,2,0.12,-2,1,-0.08
