Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates
463.3065071,27,44,6,0,0,0,0,0,CHO,[M-H]-,464.3137835,0.012059541,1
463.3195833,25,48,5,0,0,0,0,0,CHO,[M+Cl]-,428.350182,-0.017158556,1
463.3276289,24,48,8,0,0,0,0,0,CHO,[M-H]-,464.3349053,0.0283658,1
463.3559783,26,52,4,0,0,0,0,0,CHO,[M+Cl]-,428.386577,-0.039421876,1
464.1692404,20,31,9,1,0,0,0,0,CHON,[M+Cl]-,429.1998391,0.098908181,2
464.2056771,21,35,8,1,0,0,0,0,CHON,[M+Cl]-,429.2362758,-0.020306962,2
465.0232005,20,14,11,0,0,0,0,0,CHO,[M+Cl]-,430.0537992,-0.436883445,4
465.0594021,21,18,10,0,0,0,0,0,CHO,[M+Cl]-,430.0900008,-0.009305563,4
465.0826772,24,18,10,0,0,0,0,0,CHO,[M-H]-,466.0899537,0.092557634,4
465.0933189,26,22,4,0,0,1,0,0,CHOS,[M+Cl]-,430.1239176,-0.087629167,6
465.0957961,22,22,9,0,0,0,0,0,CHO,[M+Cl]-,430.1263948,-0.02908309,3
465.1036996,21,22,12,0,0,0,0,0,CHO,[M-H]-,466.110976,0.322127311,4
465.1168968,19,26,11,0,0,0,0,0,CHO,[M+Cl]-,430.1474955,0.037558928,4
465.1191767,25,22,9,0,0,0,0,0,CHO,[M-H]-,466.1264532,-0.151996862,3
465.1297644,27,26,3,0,0,1,0,0,CHOS,[M+Cl]-,430.1603631,-0.227184714,6
465.1321812,23,26,8,0,0,0,0,0,CHO,[M+Cl]-,430.1627799,-0.028097605,3
465.1402315,22,26,11,0,0,0,0,0,CHO,[M-H]-,466.147508,0.007867887,5
465.1533044,20,30,10,0,0,0,0,0,CHO,[M+Cl]-,430.1839031,-0.013662365,3
465.1685433,24,30,7,0,0,0,0,0,CHO,[M+Cl]-,430.199142,0.026323667,2
465.1709105,30,26,5,0,0,0,0,0,CHO,[M-H]-,466.178187,-0.349803561,5
465.1742171,17,34,12,0,0,0,0,0,CHO,[M+Cl]-,430.2048158,0.489903964,3
465.1766114,23,30,10,0,0,0,0,0,CHO,[M-H]-,466.1838879,0.019950891,3
465.1896689,21,34,9,0,0,0,0,0,CHO,[M+Cl]-,430.2202676,0.035096086,2
465.1952517,24,34,7,0,0,1,0,0,CHOS,[M-H]-,466.2025281,-0.008553303,3
465.2049381,25,34,6,0,0,0,0,0,CHO,[M+Cl]-,430.2355369,0.00457896,1
465.2130159,24,34,9,0,0,0,0,0,CHO,[M-H]-,466.2202923,-0.020667844,2
465.2260593,22,38,8,0,0,0,0,0,CHO,[M+Cl]-,430.256658,0.023787917,1
465.2413566,26,38,5,0,0,0,0,0,CHO,[M+Cl]-,430.2719553,-0.071977703,1
465.2494076,25,38,8,0,0,0,0,0,CHO,[M-H]-,466.2566841,-0.03414104,2
465.2624397,23,42,7,0,0,0,0,0,CHO,[M+Cl]-,430.2930384,0.03551795,1
465.2776886,27,42,4,0,0,0,0,0,CHO,[M+Cl]-,430.3082873,0.052357558,1
465.285771,26,42,7,0,0,0,0,0,CHO,[M-H]-,466.2930475,0.013309887,2
465.2988303,24,46,6,0,0,0,0,0,CHO,[M+Cl]-,430.329429,0.023732892,1
465.3043595,27,46,4,0,0,1,0,0,CHOS,[M-H]-,466.311636,0.095822011,3
465.3255264,24,50,6,0,0,1,0,0,CHOS,[M-H]-,466.3328029,0.015269442,1
465.3352333,25,50,5,0,0,0,0,0,CHO,[M+Cl]-,430.365832,-0.016855026,1
465.3407895,28,50,3,0,0,1,0,0,CHOS,[M-H]-,466.348066,0.000387046,3
466.1485098,19,29,10,1,0,0,0,0,CHON,[M+Cl]-,431.1791085,0.087272708,3
466.1849109,20,33,9,1,0,0,0,0,CHON,[M+Cl]-,431.2155096,0.051174601,2
466.2212962,21,37,8,1,0,0,0,0,CHON,[M+Cl]-,431.2518949,0.051582177,1
466.9926649,18,12,13,0,0,1,0,0,CHOS,[M-H]-,467.9999414,-0.171353932,7
467.0233433,16,16,14,0,0,0,0,0,CHO,[M+Cl]-,432.053942,0.146231053,4
467.0750441,21,20,10,0,0,0,0,0,CHO,[M+Cl]-,432.1056428,0.009457071,3
467.0830787,20,20,13,0,0,0,0,0,CHO,[M-H]-,468.0903551,0.076036099,5
467.0961368,18,24,12,0,0,0,0,0,CHO,[M+Cl]-,432.1267356,0.094151191,4
467.0983767,24,20,10,0,0,0,0,0,CHO,[M-H]-,468.1056532,-0.013449402,5
467.1089795,26,24,4,0,0,1,0,0,CHOS,[M+Cl]-,432.1395782,-0.111686686,6
467.1114281,22,24,9,0,0,0,0,0,CHO,[M+Cl]-,432.1420268,0.012964154,2
467.1137448,28,20,7,0,0,0,0,0,CHO,[M-H]-,468.1210213,-0.252645159,5
467.1194946,21,24,12,0,0,0,0,0,CHO,[M-H]-,468.1267711,0.011050508,5
467.132542,19,28,11,0,0,0,0,0,CHO,[M+Cl]-,432.1631407,0.048663132,4
467.1347778,25,24,9,0,0,0,0,0,CHO,[M-H]-,468.1420543,-0.046812969,4
467.1478228,23,28,8,0,0,0,0,0,CHO,[M+Cl]-,432.1784215,-0.008299999,3
467.1558817,22,28,11,0,0,0,0,0,CHO,[M-H]-,468.1631582,0.007656776,4
467.1614408,28,24,5,2,0,0,0,0,CHON,[M-H]-,468.1687173,-0.417299236,6
467.1668938,21,28,10,2,0,0,0,0,CHON,[M-H]-,468.1741703,0.480317401,3
467.1688851,20,32,10,0,0,0,0,0,CHO,[M+Cl]-,432.1994838,0.146784904,3
467.1765838,32,24,2,2,0,0,0,0,CHON,[M-H]-,468.1838602,-0.17562378,4
467.1841981,24,32,7,0,0,0,0,0,CHO,[M+Cl]-,432.2147968,0.015155411,2
467.1922635,23,32,10,0,0,0,0,0,CHO,[M-H]-,468.1995399,0.015638036,3
467.2053198,21,36,9,0,0,0,0,0,CHO,[M+Cl]-,432.2359185,0.033058647,1
467.2066451,19,36,9,2,0,1,0,0,CHONS,[M-H]-,468.2139216,0.490922853,4
467.2205962,25,36,6,0,0,0,0,0,CHO,[M+Cl]-,432.2511949,-0.013849624,1
467.2286552,24,36,9,0,0,0,0,0,CHO,[M-H]-,468.2359317,0.002237672,2
467.2417028,22,40,8,0,0,0,0,0,CHO,[M+Cl]-,432.2723015,0.038664018,1
467.2569874,26,40,5,0,0,0,0,0,CHO,[M+Cl]-,432.2875861,-0.027073666,1
467.2650328,25,40,8,0,0,0,0,0,CHO,[M-H]-,468.2723093,0.019123246,2
467.2780909,23,44,7,0,0,0,0,0,CHO,[M+Cl]-,432.3086896,0.032748729,1
467.2933549,27,44,4,0,0,0,0,0,CHO,[M+Cl]-,432.3239536,0.014622429,1
467.3014117,26,44,7,0,0,0,0,0,CHO,[M-H]-,468.3086882,0.033243572,2
467.3144756,24,48,6,0,0,0,0,0,CHO,[M+Cl]-,432.3450743,0.03455306,1
468.1278023,18,27,11,1,0,0,0,0,CHON,[M+Cl]-,433.158401,0.022431533,4
468.1642129,19,31,10,1,0,0,0,0,CHON,[M+Cl]-,433.1948116,-0.035451885,3
468.2005613,20,35,9,1,0,0,0,0,CHON,[M+Cl]-,433.23116,0.050208293,1
468.2369885,21,39,8,1,0,0,0,0,CHON,[M+Cl]-,433.2675872,-0.046197562,1
468.9944986,26,10,5,0,0,1,0,0,CHOS,[M+Cl]-,434.0250973,-0.468103596,6
