Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates
948.7548982,0,0,0,0,0,0,0,0,,,949.7621746,0,-1
948.8603973,59,115,7,1,0,0,0,0,CHON,[M-H]-,949.8676738,-0.335527642,-1
948.8967529,60,119,6,1,0,0,0,0,CHON,[M-H]-,949.9040294,-0.304037472,-1
949.3352193,0,0,0,0,0,0,0,0,,,950.3424957,0,-1
949.3447533,0,0,0,0,0,0,0,0,,,950.3520297,0,-1
949.4748483,0,0,0,0,0,0,0,0,,,950.4821248,0,-1
949.6051366,0,0,0,0,0,0,0,0,,,950.6124131,0,-1
949.6419753,0,0,0,0,0,0,0,0,,,950.6492518,0,-1
949.6776369,0,0,0,0,0,0,0,0,,,950.6849134,0,-1
949.7141463,0,0,0,0,0,0,0,0,,,950.7214228,0,-1
949.7355223,0,0,0,0,0,0,0,0,,,950.7427988,0,-1
949.7506473,0,0,0,0,0,0,0,0,,,950.7579238,0,-1
949.7717138,0,0,0,0,0,0,0,0,,,950.7789903,0,-1
949.7863903,61,106,7,0,0,0,0,0,CHO,[M-H]-,950.7936668,0.198727631,-1
949.8185025,0,0,0,0,0,0,0,0,,,950.825779,0,-1
949.8231247,62,110,6,0,0,0,0,0,CHO,[M-H]-,950.8304012,-0.168222132,-1
949.8634877,58,115,7,1,1,0,0,0,CHON,[M-H]-,950.8707641,-0.057033724,-1
949.8806291,60,118,7,0,0,0,0,0,CHO,[M-H]-,950.8879055,-0.157096538,-1
949.9000475,59,119,6,1,1,0,0,0,CHON,[M-H]-,950.9073239,-0.240329801,-1
950.6812785,0,0,0,0,0,0,0,0,,,951.688555,0,-1
950.7539285,0,0,0,0,0,0,0,0,,,951.761205,0,-1
950.8216989,0,0,0,0,0,0,0,0,,,951.8289754,0,-1
950.8264789,61,110,6,0,1,0,0,0,CHO,[M-H]-,951.8337554,-0.167337597,-1
950.8394955,58,113,8,1,0,0,0,0,CHON,[M-H]-,951.846772,-0.160080202,-1
950.8759591,59,117,7,1,0,0,0,0,CHON,[M-H]-,951.8832356,-0.242121657,-1
950.9124273,60,121,6,1,0,0,0,0,CHON,[M-H]-,951.9197038,-0.328989171,-1
951.4902919,0,0,0,0,0,0,0,0,,,952.4975684,0,-1
951.6579247,0,0,0,0,0,0,0,0,,,952.6652011,0,-1
951.6782657,0,0,0,0,0,0,0,0,,,952.6855421,0,-1
951.6934793,0,0,0,0,0,0,0,0,,,952.7007557,0,-1
951.7145535,0,0,0,0,0,0,0,0,,,952.7218299,0,-1
951.7294947,59,100,9,0,0,0,0,0,CHO,[M-H]-,952.7367711,-0.038121784,-1
951.7509343,0,0,0,0,0,0,0,0,,,952.7582107,0,-1
951.7661363,60,104,8,0,0,0,0,0,CHO,[M-H]-,952.7734127,-0.306914364,-1
951.7872562,57,108,10,0,0,0,0,0,CHO,[M-H]-,952.7945326,-0.296969351,-1
951.8024742,61,108,7,0,0,0,0,0,CHO,[M-H]-,952.8097506,-0.256944912,-1
951.8287654,0,0,0,0,0,0,0,0,,,952.8360418,0,-1
951.8300205,0,0,0,0,0,0,0,0,,,952.8372969,0,-1
951.836241,0,0,0,0,0,0,0,0,,,952.8435174,0,-1
951.8600865,0,0,0,0,0,0,0,0,,,952.867363,0,-1
951.8773322,0,0,0,0,0,0,0,0,,,952.8846087,0,-1
951.9156242,59,121,6,1,1,0,0,0,CHON,[M-H]-,952.9229007,-0.16286768,-1
952.4936723,0,0,0,0,0,0,0,0,,,953.5009488,0,-1
952.6973258,0,0,0,0,0,0,0,0,,,953.7046023,0,-1
952.7677828,0,0,0,0,0,0,0,0,,,953.7750593,0,-1
952.8012715,0,0,0,0,0,0,0,0,,,953.808548,0,-1
952.8334866,0,0,0,0,0,0,0,0,,,953.8407631,0,-1
952.8429318,0,0,0,0,0,0,0,0,,,953.8502083,0,-1
952.8553468,0,0,0,0,0,0,0,0,,,953.8626232,0,-1
952.8635809,0,0,0,0,0,0,0,0,,,953.8708573,0,-1
952.8787132,0,0,0,0,0,0,0,0,,,953.8859896,0,-1
952.8917563,0,0,0,0,0,0,0,0,,,953.8990327,0,-1
953.452162,0,0,0,0,0,0,0,0,,,954.4594384,0,-1
953.4971693,0,0,0,0,0,0,0,0,,,954.5044457,0,-1
953.6727024,0,0,0,0,0,0,0,0,,,954.6799789,0,-1
953.7089115,58,98,10,0,0,0,0,0,CHO,[M-H]-,954.716188,-0.197542135,-1
953.7454238,59,102,9,0,0,0,0,0,CHO,[M-H]-,954.7527003,-0.330343785,-1
953.7817545,60,106,8,0,0,0,0,0,CHO,[M-H]-,954.789031,-0.272936252,-1
953.8045614,0,0,0,0,0,0,0,0,,,954.8118379,0,-1
953.8183279,0,0,0,0,0,0,0,0,,,954.8256044,0,-1
953.838429,0,0,0,0,0,0,0,0,,,954.8457055,0,-1
953.8587149,0,0,0,0,0,0,0,0,,,954.8659914,0,-1
953.8821363,0,0,0,0,0,0,0,0,,,954.8894128,0,-1
953.895002,0,0,0,0,0,0,0,0,,,954.9022785,0,-1
954.7447142,0,0,0,0,0,0,0,0,,,955.7519906,0,-1
954.7803843,0,0,0,0,0,0,0,0,,,955.7876607,0,-1
954.8164605,0,0,0,0,0,0,0,0,,,955.823737,0,-1
954.8169229,0,0,0,0,0,0,0,0,,,955.8241994,0,-1
954.8711614,0,0,0,0,0,0,0,0,,,955.8784379,0,-1
955.2212804,0,0,0,0,0,0,0,0,,,956.2285568,0,-1
955.404005,0,0,0,0,0,0,0,0,,,956.4112815,0,-1
955.5218993,0,0,0,0,0,0,0,0,,,956.5291758,0,-1
955.6307783,0,0,0,0,0,0,0,0,,,956.6380548,0,-1
955.6882036,57,96,11,0,0,0,0,0,CHO,[M-H]-,956.6954801,-0.225966745,-1
955.7143218,0,0,0,0,0,0,0,0,,,956.7215983,0,-1
955.7248463,0,0,0,0,0,0,0,0,,,956.7321228,0,-1
955.7609924,59,104,9,0,0,0,0,0,CHO,[M-H]-,956.7682688,-0.244449491,-1
955.7814395,0,0,0,0,0,0,0,0,,,956.7887159,0,-1
955.7838858,0,0,0,0,0,0,0,0,,,956.7911622,0,-1
955.7970096,60,108,8,0,0,0,0,0,CHO,[M-H]-,956.804286,0.140486901,-1
955.820052,0,0,0,0,0,0,0,0,,,956.8273284,0,-1
955.8337849,61,112,7,0,0,0,0,0,CHO,[M-H]-,956.8410613,-0.266900837,-1
956.2208722,0,0,0,0,0,0,0,0,,,957.2281487,0,-1
956.5252795,0,0,0,0,0,0,0,0,,,957.532556,0,-1
956.7238713,0,0,0,0,0,0,0,0,,,957.7311478,0,-1
956.7602643,0,0,0,0,0,0,0,0,,,957.7675408,0,-1
956.7959253,0,0,0,0,0,0,0,0,,,957.8032018,0,-1
956.7963856,0,0,0,0,0,0,0,0,,,957.8036621,0,-1
956.8234976,0,0,0,0,0,0,0,0,,,957.8307741,0,-1
956.8369628,60,112,7,0,1,0,0,0,CHO,[M-H]-,957.8442393,-0.081976697,-1
957.2182644,0,0,0,0,0,0,0,0,,,958.2255409,0,-1
957.5655607,0,0,0,0,0,0,0,0,,,958.5728371,0,-1
957.6831515,0,0,0,0,0,0,0,0,,,958.690428,0,-1
957.7040155,0,0,0,0,0,0,0,0,,,958.711292,0,-1
